word,videos,full_path,exists,repo_video_path
I,I • ASL Dictionary.mp4,data_raw\American-Sign-Language-Dataset\part_6\I • ASL Dictionary.mp4,True,data_subset/videos/I • ASL Dictionary.mp4
I,I.mp4,data_raw\American-Sign-Language-Dataset\part_6\I.mp4,True,data_subset/videos/I.mp4
I,i_5.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_5.mp4,True,data_subset/videos/i_5.mp4
I,i_2.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_2.mp4,True,data_subset/videos/i_2.mp4
I,i_8.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_8.mp4,True,data_subset/videos/i_8.mp4
I,i_3.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_3.mp4,True,data_subset/videos/i_3.mp4
I,i_1.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_1.mp4,True,data_subset/videos/i_1.mp4
I,i_4.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_4.mp4,True,data_subset/videos/i_4.mp4
I,i_6.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_6.mp4,True,data_subset/videos/i_6.mp4
I,i_7.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_7.mp4,True,data_subset/videos/i_7.mp4
I,i_6_i_aug_0.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_6_i_aug_0.mp4,True,data_subset/videos/i_6_i_aug_0.mp4
I,I_i_aug_1.mp4,data_raw\American-Sign-Language-Dataset\part_6\I_i_aug_1.mp4,True,data_subset/videos/I_i_aug_1.mp4
I,i_4_i_aug_2.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_4_i_aug_2.mp4,True,data_subset/videos/i_4_i_aug_2.mp4
I,I • ASL Dictionary_i_aug_3.mp4,data_raw\American-Sign-Language-Dataset\part_6\I • ASL Dictionary_i_aug_3.mp4,True,data_subset/videos/I • ASL Dictionary_i_aug_3.mp4
I,i_8_i_aug_4.mp4,data_raw\American-Sign-Language-Dataset\part_9\i_8_i_aug_4.mp4,True,data_subset/videos/i_8_i_aug_4.mp4
I,I_i_aug_5.mp4,data_raw\American-Sign-Language-Dataset\part_6\I_i_aug_5.mp4,True,data_subset/videos/I_i_aug_5.mp4
